V	DZ1	C1	Fn1	DZ2	C2	Fn2
-1.96575	0.2279	-4.62334E-11	1.08255E-10	0.7279	-1.62007E-11	3.6728E-11
-1.96558	0.2279	-4.62546E-11	1.08473E-10	0.7279	-1.62055E-11	3.67803E-11
-1.96542	0.2272	-4.62535E-11	1.08569E-10	0.7272	-1.62103E-11	3.68328E-11
-1.96525	0.2272	-4.62745E-11	1.08789E-10	0.7272	-1.6215E-11	3.68854E-11
-1.96508	0.2265	-4.62732E-11	1.08885E-10	0.7265	-1.62198E-11	3.69382E-11
-1.96492	0.2265	-4.6294E-11	1.09106E-10	0.7265	-1.62246E-11	3.69911E-11
-1.96475	0.2258	-4.62925E-11	1.09203E-10	0.7258	-1.62294E-11	3.70443E-11
-1.96458	0.2258	-4.63132E-11	1.09424E-10	0.7258	-1.62342E-11	3.70975E-11
-1.96442	0.2251	-4.63116E-11	1.09522E-10	0.7251	-1.6239E-11	3.71509E-11
-1.96425	0.2251	-4.63321E-11	1.09745E-10	0.7251	-1.62438E-11	3.72044E-11
-1.96408	0.2244	-4.63304E-11	1.09843E-10	0.7244	-1.62486E-11	3.72581E-11
-1.96392	0.2244	-4.63507E-11	1.10067E-10	0.7244	-1.62535E-11	3.73119E-11
-1.96375	0.2237	-4.63488E-11	1.10165E-10	0.7237	-1.62583E-11	3.73659E-11
-1.96358	0.2237	-4.6369E-11	1.1039E-10	0.7237	-1.62631E-11	3.742E-11
-1.96342	0.223	-4.6367E-11	1.10489E-10	0.723	-1.6268E-11	3.74743E-11
-1.96325	0.223	-4.6387E-11	1.10716E-10	0.723	-1.62728E-11	3.75286E-11
-1.96308	0.2223	-4.6385E-11	1.10815E-10	0.7223	-1.62777E-11	3.75832E-11
-1.96292	0.2223	-4.64048E-11	1.11043E-10	0.7223	-1.62825E-11	3.76379E-11
-1.96275	0.2216	-4.64026E-11	1.11143E-10	0.7216	-1.62874E-11	3.76927E-11
-1.96258	0.2216	-4.64223E-11	1.11371E-10	0.7216	-1.62923E-11	3.77476E-11
-1.96242	0.2209	-4.64201E-11	1.11472E-10	0.7209	-1.62971E-11	3.78027E-11
-1.96225	0.2209	-4.64396E-11	1.11702E-10	0.7209	-1.6302E-11	3.7858E-11
-1.96208	0.2202	-4.64373E-11	1.11804E-10	0.7202	-1.63069E-11	3.79134E-11
-1.96192	0.2202	-4.64567E-11	1.12034E-10	0.7202	-1.63118E-11	3.79689E-11
-1.96175	0.2195	-4.64543E-11	1.12137E-10	0.7195	-1.63167E-11	3.80245E-11
-1.96158	0.2195	-4.64735E-11	1.12368E-10	0.7195	-1.63216E-11	3.80803E-11
-1.96142	0.2188	-4.64711E-11	1.12472E-10	0.7188	-1.63265E-11	3.81362E-11
-1.96125	0.2188	-4.64902E-11	1.12703E-10	0.7188	-1.63314E-11	3.81923E-11
-1.96108	0.2181	-4.64877E-11	1.12807E-10	0.7181	-1.63363E-11	3.82485E-11
-1.96092	0.2181	-4.65066E-11	1.13039E-10	0.7181	-1.63412E-11	3.83049E-11
-1.96075	0.2174	-4.65041E-11	1.13144E-10	0.7174	-1.63461E-11	3.83614E-11
-1.96058	0.2174	-4.65229E-11	1.13376E-10	0.7174	-1.63511E-11	3.8418E-11
-1.96042	0.2167	-4.65203E-11	1.13481E-10	0.7167	-1.6356E-11	3.84748E-11
-1.96025	0.2167	-4.65391E-11	1.13715E-10	0.7167	-1.63609E-11	3.85317E-11
-1.96008	0.216	-4.65364E-11	1.1382E-10	0.716	-1.63658E-11	3.85888E-11
-1.95992	0.216	-4.6555E-11	1.14054E-10	0.716	-1.63708E-11	3.8646E-11
-1.95975	0.2153	-4.65523E-11	1.1416E-10	0.7153	-1.63757E-11	3.87034E-11
-1.95958	0.2153	-4.65709E-11	1.14394E-10	0.7153	-1.63807E-11	3.87609E-11
-1.95942	0.2146	-4.65681E-11	1.145E-10	0.7146	-1.63856E-11	3.88186E-11
-1.95925	0.2146	-4.65865E-11	1.14735E-10	0.7146	-1.63906E-11	3.88764E-11
-1.95908	0.2139	-4.65838E-11	1.14842E-10	0.7139	-1.63956E-11	3.89344E-11
-1.95892	0.2139	-4.66021E-11	1.15077E-10	0.7139	-1.64006E-11	3.89925E-11
-1.95875	0.2132	-4.65993E-11	1.15184E-10	0.7132	-1.64055E-11	3.90508E-11
-1.95858	0.2132	-4.66176E-11	1.1542E-10	0.7132	-1.64105E-11	3.91092E-11
-1.95842	0.2125	-4.66148E-11	1.15528E-10	0.7125	-1.64155E-11	3.91678E-11
-1.95825	0.2125	-4.66329E-11	1.15766E-10	0.7125	-1.64205E-11	3.92265E-11
-1.95808	0.2118	-4.66301E-11	1.15874E-10	0.7118	-1.64254E-11	3.92853E-11
-1.95792	0.2118	-4.66482E-11	1.16114E-10	0.7118	-1.64304E-11	3.93442E-11
-1.95775	0.2111	-4.66453E-11	1.16223E-10	0.7111	-1.64354E-11	3.94033E-11
-1.95758	0.2111	-4.66634E-11	1.16464E-10	0.7111	-1.64404E-11	3.94624E-11
-1.95742	0.2104	-4.66605E-11	1.16574E-10	0.7104	-1.64453E-11	3.95216E-11
-1.95725	0.2104	-4.66784E-11	1.16816E-10	0.7104	-1.64503E-11	3.9581E-11
-1.95708	0.2097	-4.66755E-11	1.16928E-10	0.7097	-1.64552E-11	3.96405E-11
-1.95692	0.2097	-4.66935E-11	1.17171E-10	0.7097	-1.64602E-11	3.97E-11
-1.95675	0.209	-4.66905E-11	1.17284E-10	0.709	-1.64652E-11	3.97597E-11
-1.95658	0.209	-4.67084E-11	1.17529E-10	0.709	-1.64701E-11	3.98194E-11
